公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
北京币世界网络科技有限公司,币世界,150-500人,A轮,朝阳区,python技术经理,5-10年,本科,25k-50k,五险一金，带薪年假，周末双休,"移动互联网,金融",开发|测试|运维类,"['岗位晋升', '五险一金', '节日礼物']",后端开发,北京
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,Python助教,1-3年,本科,6k-8k,"空间无限大,领导好,团队优秀,团队氛围好","移动互联网,教育",教育|培训,"['节日礼物', '技能培训', '节日礼品卡', '月度团建']",教师,北京
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,监控系统开发工程师-Python&amp;Go,3-5年,本科,16k-30k,发展前景,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,朝阳区,高级 Python 研发工程师/方向负责人,3-5年,本科,20k-35k,房补、午餐、每月团建经费、零食水果、年假,"移动互联网,企业服务",开发|测试|运维类,"['绩效奖金', '扁平管理', '岗位晋升', '五险一金']",后端开发,北京
北京推想科技有限公司,推想科技,150-500人,C轮,朝阳区,python开发实习生 (MJ000270),不限,本科,4k-8k,大牛带队，人工智能,"医疗丨健康,数据服务",开发|测试|运维类,"['午餐补助', '弹性工作', '技能培训', '五险一金']",后端开发,北京
广州市驴迹科技有限责任公司,驴迹科技,150-500人,D轮及以上,天河区,Python web工程师,5-10年,不限,20k-35k,"双休,准上市,领导好","移动互联网,旅游",开发|测试|运维类,[],后端开发,广州
联想（北京）有限公司,联想集团,2000人以上,上市公司,海淀区,高级Python开发工程师,3-5年,本科,20k-40k,上市公司,"移动互联网,数据服务",开发|测试|运维类,"['五险一金', '绩效奖金', '午餐补助', '带薪年假']",后端开发,北京
深圳市铱硙医疗科技有限公司,脑医生,15-50人,A轮,南山区,python后端开发工程师,1-3年,本科,8k-15k,"高端前沿,前景广阔,年终奖金","医疗丨健康,数据服务",开发|测试|运维类,"['专项奖金', '带薪年假', '领导好', '五险一金']",后端开发,深圳
深圳市微课科技有限公司,荔枝微课,50-150人,A轮,南山区,python运维开发工程师,1-3年,本科,10k-15k,"双休,年轻团队,学习机会多","移动互联网,教育",开发|测试|运维类,"['美女多', '弹性工作', '扁平管理', '午餐补助']",运维,深圳
华扬联众数字技术股份有限公司西安分公司,华扬联众全国数据技术中心（HDTC）,2000人以上,不需要融资,鼓楼区,python高级开发工程师,3-5年,本科,10k-20k,带薪假期、6险1金、年底双薪,"数据服务,文娱丨内容",开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', 'baby津贴']",后端开发,南京
