公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
上海海万信息科技股份有限公司,海万科技,500-2000人,不需要融资,福田区,python开发（数据分析）,3-5年,本科,10k-15k,五险一金，节假日福利,"移动互联网,金融",开发|测试|运维类,[],后端开发,深圳
上海莱壳企业管理有限公司,wlaike,150-500人,B轮,天河区,python开发工程师,不限,本科,30k-60k,保底16薪，五险一金，带薪年假，出国旅行,"移动互联网,企业服务",开发|测试|运维类,"['年底双薪', '帅哥多', '绩效奖金', '专项奖金']",后端开发,广州
普华永道信息技术（上海）有限公司,PwC,500-2000人,未融资,浦东新区,Python开发工程师,5-10年,本科,20k-25k,外企福利 技术前沿 Python开发,"移动互联网,金融",开发|测试|运维类,"['年底双薪', '交通补助', '绩效奖金', '午餐补助']",后端开发,上海
秒针信息技术有限公司,明略科技集团,2000人以上,D轮及以上,长宁区,python开发工程师,3-5年,本科,15k-25k,福利待遇 发展前景,"数据服务,广告营销",开发|测试|运维类,"['六险一金', '年底双薪', '绩效奖金', '完成E轮融资']",后端开发,上海
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,50-150人,A轮,南山区,python工程师,3-5年,大专,10k-20k,"双休,五险一金,大数据,氛围好","电商,数据服务",开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",后端开发,深圳
上海涌驰信息技术有限公司,涌驰信息,150-500人,不需要融资,天河区,Python工程师,3-5年,本科,13k-17k,五险一金 带薪年假 做五休二,软件开发,开发|测试|运维类,[],后端开发,广州
广州掌昆网络科技有限公司,掌昆游戏,150-500人,不需要融资,海珠区,python,1年以下,本科,6k-8k,氛围简单 双薪双休 包餐 年终奖金,"移动互联网,游戏",开发|测试|运维类,"['绩效奖金', '年底双薪', '年终分红', '带薪年假']",后端开发,广州
因诺（上海）资产管理有限公司,因诺,15-50人,不需要融资,西城区,Python开发工程师,1-3年,硕士,15k-20k,"扁平管理,牛人团队,绩效奖金,六险一金",金融,开发|测试|运维类,"['扁平管理', '技能培训', '领导好', '弹性工作']",后端开发,北京
浙江金科文化产业股份有限公司,金科文化,150-500人,上市公司,天河区,python开发工程师,1-3年,大专,8k-10k,环境优越 待遇丰厚,移动互联网,开发|测试|运维类,"['带薪年假', '交通补助', '通讯津贴', '午餐补助']",后端开发,广州
北京爱数智慧科技有限公司,爱数智慧,50-150人,A轮,海淀区,python开发工程师,不限,本科,7k-10k,"人工智能,加班补助,补充医疗,五险一金",人工智能,开发|测试|运维类,[],后端开发,北京
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,闵行区,Python开发工程师（研发效率方向）,3-5年,本科,25k-50k,六险一金，弹性工作，免费三餐，租房补贴,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,上海
信迪网络资讯有限公司,信迪网络资讯有限公司,150-500人,不需要融资,南山区,python开发工程师,1-3年,本科,10k-16k,项目前景好，团队氛围棒,"移动互联网,社交",开发|测试|运维类,"['年底双薪', '带薪年假', '弹性工作', '领导好']",后端开发,深圳
上海迈外迪网络科技有限公司,迈外迪,150-500人,D轮及以上,朝阳区,python工程师（公共平台中心）,3-5年,本科,15k-25k,交通便利，团队氛围好，有上升空间,"移动互联网,消费生活",开发|测试|运维类,"['岗位晋升', '管理规范', '带薪年假', '交通补助']",后端开发,北京
南通东华软件有限公司,南通东华软件,150-500人,上市公司,西湖区,python开发,3-5年,本科,14k-18k,双休 平台好 五险一金 带薪休假,"信息安全,数据服务",开发|测试|运维类,[],后端开发,杭州
广州威尔森信息科技有限公司,Ways,150-500人,未融资,天河区,Python开发工程师,1-3年,不限,9k-14k,五险一金 带薪假期 周末双休,企业服务,开发|测试|运维类,"['年底双薪', '节日礼物', '带薪年假', '绩效奖金']",后端开发,广州
深圳市比一比网络科技有限公司,深圳市比一比网络科技有限公司,50-150人,A轮,南山区,python开发工程师,1-3年,本科,12k-16k,大数据 薪资待遇高 老板格局高,"电商,数据服务",开发|测试|运维类,"['技能培训', '股票期权', '带薪年假', '岗位晋升']",后端开发,深圳
永杨安风（北京）科技有限公司,LBE 科技,50-150人,B轮,朝阳区,python研发工程师,3-5年,本科,15k-30k,六险一金+定期体检+绩效奖金+水果零食,移动互联网,开发|测试|运维类,"['绩效奖金', '专项奖金', '带薪年假', '节日礼物']",后端开发,北京
北京力码科技有限公司,力码科技,50-150人,A轮,朝阳区,python开发工程师,3-5年,本科,20k-35k,六险一金、福利待遇好、,"移动互联网,企业服务",开发|测试|运维类,"['六险一金', '带薪年假', '定期体检', '扁平管理']",后端开发,北京
乐格商业咨询（深圳）有限公司,乐格信息,150-500人,A轮,福田区,高级python,5-10年,大专,20k-35k,"外企, 个人成长，领导nice","企业服务,数据服务",开发|测试|运维类,"['节日礼物', '技能培训', '职业发展预期', '岗位晋升']",后端开发,深圳
北京旷视科技有限公司,旷视MEGVII,500-2000人,D轮及以上,海淀区,python平台开发工程师,1-3年,本科,22k-35k,父母百万医疗保险 弹性工作 免费三餐,人工智能,开发|测试|运维类,"['科技大牛公司', '自助三餐', '年终多薪', '超长带薪假期']",后端开发,北京
天思（上海）国际贸易有限公司,TRADE X （上海）,150-500人,不需要融资,徐汇区,Python后端高级工程师,3-5年,本科,25k-40k,国际化团队，免费英语健身,"金融,汽车丨出行",开发|测试|运维类,[],后端开发,上海
北京金道天成信息系统服务有限公司,金道天成,500-2000人,不需要融资,西湖区,Python后端开发,3-5年,本科,11k-18k,提供宿舍,"移动互联网,企业服务",开发|测试|运维类,"['年底双薪', '带薪年假', '定期体检', '节日礼物']",后端开发,杭州
苏州研途教育科技有限公司,研途教育,150-500人,A轮,工业园区,python开发工程师,3-5年,本科,10k-13k,全额五险一金 饭补 年终奖,"教育,移动互联网",开发|测试|运维类,[],后端开发,苏州
云量科技（北京）有限责任公司,云量科技,15-50人,天使轮,朝阳区,Python开发工程师（高级）,3-5年,本科,15k-25k,"广阔平台,优秀团队","移动互联网,金融",开发|测试|运维类,"['带薪年假', '午餐补助', '弹性工作', '扁平管理']",人工智能,北京
京东数字科技控股有限公司,京东数字科技,2000人以上,上市公司,拱墅区,高级python开发工程师（杭州）,5-10年,本科,20k-30k,超级广阔的发展前景、超级棒的福利,金融,开发|测试|运维类,"['供应链金融', '消费金融', '众筹业务', '支付业务']",后端开发,杭州
源杉数据科技（上海）有限公司,源杉FIR.ai,15-50人,天使轮,杨浦区,python开发工程师,5-10年,本科,15k-30k,"精英团队,发展空间,股权激励,行业大牛","数据服务,金融",开发|测试|运维类,"['股票期权', '美女多', '领导好', '扁平管理']",后端开发,上海
成都益嘉互动网络科技有限公司,成都益嘉互动网络科技有限公司,15-50人,未融资,高新区,python开发工程师,3-5年,大专,10k-15k,多元化发展，晋升空间大,"移动互联网,游戏",开发|测试|运维类,[],后端开发,成都
上海析乐数据服务有限公司,析乐数据,15-50人,A轮,浦东新区,python开发工程师（电竞行业）,1-3年,本科,15k-25k,"餐补车补,绩效奖金,过节费,生日礼金","数据服务,游戏",开发|测试|运维类,"['带薪年假', '交通补助', '午餐补助', '定期旅行']",后端开发,上海
北京富华创新科技发展有限责任公司,金融界网站（互联网证券）,500-2000人,上市公司,西城区,python开发工程师,1-3年,硕士,10k-18k,上市公司 股票期权,"移动互联网,金融",开发|测试|运维类,"['技能培训', '过节费', '带薪年假', '岗位晋升']",后端开发,北京
网易（杭州）有限公司,网易,2000人以上,上市公司,天河区,Python后台开发工程师,3-5年,本科,12k-24k,6险1金 16薪 免费食堂 健身房,电商,开发|测试|运维类,"['节日礼物', '技能培训', '免费班车', '带薪年假']",后端开发,广州
威讯柏睿数据科技（北京）有限公司,柏睿数据,50-150人,B轮,洪山区,Python开发（应届）,不限,本科,6k-12k,大数据 多绩效 BI 数据仓储,"数据服务,信息安全",开发|测试|运维类,"['股票期权', '专项奖金', '带薪年假', '弹性工作']",后端开发,武汉
同方信息系统有限公司,同方信息,50-150人,不需要融资,南山区,python开发工程师,5-10年,本科,20k-40k,福利好、补贴多、弹性制、双休、奖金多,移动互联网,开发|测试|运维类,"['年底双薪', '节日礼物', '技能培训', '正能量']",后端开发,深圳
北京快快网络技术有限公司,真融宝,150-500人,B轮,海淀区,Python开发实习生,应届毕业生,本科,4k-5k,技术提升 技术大牛团队,金融,开发|测试|运维类,"['员工福利丰富', '高薪期权', '热门行业', '免费工作餐']",后端开发,北京
正大电子商务（浙江）有限公司,正大电商,2000人以上,未融资,海淀区,python后端,3-5年,本科,25k-45k,跨国大型企业，全额五险一金,"电商,消费生活",开发|测试|运维类,[],后端开发,北京
上海邦阔信息科技有限公司,邦阔信息科技,15-50人,天使轮,浦东新区,Python开发实习工程师,应届毕业生,本科,2k-3k,科技企业提供优先上海户口办理名额,"数据服务,人工智能",开发|测试|运维类,[],数据开发,上海
深圳市云笈科技有限公司,深圳市云笈科技有限公司,15-50人,未融资,南山区,Python后台开发工程师,3-5年,大专,20k-25k,平台 周末双休 氛围好,移动互联网,开发|测试|运维类,"['五险一金', '领导好', '带薪年假', '绩效奖金']",后端开发,深圳
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,python/go开发实习生,应届毕业生,本科,2k-4k,福利待遇好,"数据服务,企业服务",开发|测试|运维类,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",后端开发,北京
深圳极钛星华信息技术有限公司,Geartech,15-50人,A轮,南山区,Python 后台开发工程师,3-5年,本科,10k-15k,弹性工作制/每天水果零食和饮料/氛围自由,"移动互联网,硬件",开发|测试|运维类,"['股票期权', '带薪年假', '扁平管理', '五险一金']",后端开发,深圳
Biss,币市BISS,15-50人,不需要融资,朝阳区,python实习（毕业后转正）,应届毕业生,本科,5k-7k,区块链新赛道，氛围好牛人多，发展潜力高,区块链,开发|测试|运维类,[],后端开发,北京
北京比链科技有限公司,比链科技,150-500人,B轮,海淀区,python后端leader,3-5年,本科,20k-35k,市场前景广阔 交通便利 上升空间大,"金融,电商",开发|测试|运维类,"['午餐补助', '领导nice', '公司氛围好', '移动互联网']",后端开发,北京
深信服科技股份有限公司,深信服科技集团,2000人以上,不需要融资,南山区,python开发工程师,不限,本科,12k-24k,"平台大,福利好,薪资高","信息安全,企业服务",开发|测试|运维类,"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",后端开发,深圳
平安科技（深圳）有限公司,平安科技,2000人以上,不需要融资,朝阳区,11215N-Python开发工程师,3-5年,本科,15k-30k,"五险一金,带薪年假,节日福利,绩效奖金",金融,开发|测试|运维类,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",后端开发,北京
达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,南山区,高级python开发工程师,3-5年,本科,20k-30k,"人工智能,准独角兽,技术氛围浓,发展空间",人工智能,开发|测试|运维类,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",后端开发,深圳
北京香侬慧语科技有限责任公司,香侬科技,50-150人,A轮,海淀区,python开发工程师,1-3年,本科,15k-20k,大牛带队、亿级融资、地铁周边、零食无限,"企业服务,数据服务",开发|测试|运维类,"['股票期权', '专项奖金', '绩效奖金', '年终分红']",后端开发,北京
生仝智能科技（北京）有限公司,生仝智能,15-50人,天使轮,大兴区,python工程师,不限,硕士,14k-20k,集团子公司，新成立团队，前景广阔，,移动互联网,开发|测试|运维类,"['绩效奖金', '专项奖金', '午餐补助', '定期体检']",后端开发,北京
达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,海淀区,高级python开发工程师,3-5年,本科,20k-30k,"大牛团队,技术领先,发展迅速,准独角兽",人工智能,开发|测试|运维类,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",后端开发,北京
深圳市乐易网络股份有限公司,乐易网络,150-500人,不需要融资,南山区,python开发工程师,1-3年,本科,8k-16k,丰厚年终，两次旅游，两次调薪,"移动互联网,游戏",开发|测试|运维类,"['技术大牛', '两次年度旅游', '福利倍儿好', '年终奖丰厚']",后端开发,深圳
杭州知衣科技有限公司,知衣科技,50-150人,A轮,萧山区,python,1-3年,本科,15k-25k,大牛团队 大数据产品,"移动互联网,电商",开发|测试|运维类,"['绩效奖金', '股票期权', '扁平管理', '弹性工作']",后端开发,杭州
广州回头车信息科技有限公司,省省回头车,50-150人,A轮,天河区,python开发工程师,3-5年,不限,15k-25k,周末双休 年底13-15薪 弹性上班,消费生活,开发|测试|运维类,"['五险一金', '带薪年假', '年度旅游', '岗位晋升']",后端开发,广州
海致网络技术（北京）有限公司,海致,150-500人,C轮,海淀区,Python开发工程师（后台）,3-5年,本科,20k-30k,金融大数据 独角兽 有期权,"移动互联网,企业服务",开发|测试|运维类,"['股票期权', '带薪年假', '弹性工作', '扁平管理']",后端开发,北京
武汉小果科技有限公司,森果,50-150人,天使轮,江夏区,Python开发工程师,1-3年,本科,9k-15k,技术大牛，分享会，自主研发，提供mac,"移动互联网,企业服务",开发|测试|运维类,"['股票期权', '弹性工作', '节日礼物', '领导好']",后端开发,武汉
上海斯干网络科技有限公司,斯干,150-500人,B轮,徐汇区,Python开发工程师,3-5年,本科,15k-25k,"上升空间,技术大牛,漫展免费进,福利多多","移动互联网,文娱丨内容",开发|测试|运维类,"['节日礼物', '股票期权', '扁平管理', '帅哥多']",后端开发,上海
鲨鱼快游网络技术（北京）有限公司,鲨鱼记账,15-50人,天使轮,海淀区,Python开发工程师,1-3年,本科,15k-25k,五险一金，免费午餐，假日福利，快速成长,移动互联网,开发|测试|运维类,"['午餐补助', '免费班车', '扁平管理', '五险一金']",后端开发,北京
深圳市贝多分金融科技有限公司,贝多分金融,50-150人,A轮,福田区,python开发工程师,3-5年,大专,15k-25k,互联网金融,"金融,电商",开发|测试|运维类,[],后端开发,深圳
上海进馨网络科技有限公司,纳米盒,150-500人,C轮,浦东新区,Python开发工程师,5-10年,本科,15k-30k,发展前景大、工作氛围好、技术牛人多,"移动互联网,教育",开发|测试|运维类,"['股票期权', '岗位晋升', '扁平管理', '五险一金']",后端开发,上海
武汉极意网络科技有限公司,极验,50-150人,B轮,东湖新技术开发区,Python（极验验证）,3-5年,不限,9k-18k,双休+弹性工作制+五险一金+餐补,"信息安全,数据服务",开发|测试|运维类,"['股票期权', '绩效奖金', '交通补助', '带薪年假']",后端开发,武汉
心灵失重（北京）科技有限公司,糗事百科,150-500人,A轮,南山区,Python,3-5年,本科,15k-30k,老司机来开车,移动互联网,开发|测试|运维类,"['媲美名企高薪', '无限量零食', '五险一金', '年度旅游']",后端开发,深圳
深圳市零壹移动互联系统有限公司,零壹互联,150-500人,B轮,龙华新区,python开发工程师,3-5年,本科,15k-25k,人工智能 深度学习 车辆,"移动互联网,消费生活",开发|测试|运维类,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",后端开发,深圳
北京摩尔宝宝网络科技有限公司,摩尔妈妈,15-50人,A轮,朝阳区,python开发工程师,1-3年,本科,15k-25k,"大牛带队,注重成长,季度奖金,免费午餐",移动互联网,开发|测试|运维类,"['大牛带队', '注重成长', '硅谷范儿', '免费午餐']",后端开发,北京
成都欧督系统科技有限公司,欧督（成都）,50-150人,天使轮,高新区,python开发,3-5年,本科,12k-24k,javascript 框架开发,"企业服务,电商",开发|测试|运维类,"['股票期权', '绩效奖金', '定期培训', '架构优化']",后端开发,成都
广州嘉煌文化传播有限公司,嘉煌文化传播,50-150人,不需要融资,天河区,python开发,3-5年,大专,9k-15k,五险一金 周末双休 团队氛围好 项目奖金,"体育,软件开发",开发|测试|运维类,"['弹性工作', '节日礼物', '扁平管理', '技能培训']",后端开发,广州
北京势在必行网络科技有限公司,币信,50-150人,不需要融资,朝阳区,python开发工程师,3-5年,本科,15k-25k,弹性工作 五险一金 年度体检 午晚餐,移动互联网,开发|测试|运维类,"['带薪年假', '午餐补助', '定期体检', '弹性工作']",后端开发,北京
上海大岂网络科技有限公司,MoSeeker仟寻,50-150人,B轮,徐汇区,python工程师,3-5年,本科,15k-22k,福利多多 技术大牛多 超长年假,移动互联网,开发|测试|运维类,"['带薪年假', '定期体检', '年终分红', '节日礼物']",后端开发,上海
上海海知智能科技有限公司,海知智能,50-150人,A轮,南山区,Python开发工程师,3-5年,本科,20k-40k,"人工智能,技术大牛,成长空间大,创新前沿","移动互联网,数据服务",开发|测试|运维类,"['晋升空间大', '硅谷管理风格', '创新前沿', '尊重个性']",后端开发,深圳
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,Python,不限,本科,13k-25k,"前沿科技,靠谱团队,工程师文化,H1B计划","数据服务,企业服务",开发|测试|运维类,"['股票期权', '顶级技术团队', '带薪年假', '国际化管理']",后端开发,北京
简阳联盟凯睿企业管理有限公司,联盟智能社区,150-500人,B轮,黄浦区,python开发,3-5年,本科,15k-30k,发展前景，大牛多，弹性工作，福利待遇好,"企业服务,人工智能",开发|测试|运维类,"['带薪年假', '定期体检', '股票期权', '美女多']",后端开发,上海
圆通速递有限公司,圆通,2000人以上,上市公司,青浦区,python,3-5年,本科,15k-25k,上市公司，前景好，晋升空间广阔，待遇好,物流丨运输,开发|测试|运维类,"['技能培训', '免费班车', '专项奖金', '岗位晋升']",后端开发,上海
上海数旦信息技术有限公司,数旦信息,15-50人,A轮,徐汇区,Python开发工程师,1-3年,本科,10k-20k,"年终奖金,股票期权,优秀团队,金融科技","移动互联网,金融",开发|测试|运维类,"['定期体检', '年度旅游', '技能培训', '领导好']",后端开发,上海
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,雁塔区,python开发工程师,1-3年,本科,7k-14k,六险一金，项目奖金，弹性工作，年度体检,移动互联网,开发|测试|运维类,"['带薪年假', '计算机软件', '管理规范', '定期体检']",后端开发,西安
深圳市幸福商城科技股份有限公司,幸福商城,500-2000人,B轮,南山区,Python开发工程师,5-10年,本科,15k-25k,晋升空间、主题活动、下午茶、运动俱乐部,"移动互联网,消费生活",开发|测试|运维类,"['带薪年假', '下午茶蛋糕', '季度团建', '领导nice']",数据开发,深圳
北京神州绿盟信息安全科技股份有限公司,绿盟科技,500-2000人,上市公司,雁塔区,python开发工程师,1-3年,本科,9k-15k,五险一金；弹性工作；餐补；定期体检,信息安全,开发|测试|运维类,"['技能培训', '节日礼物', '股票期权', '带薪年假']",后端开发,西安
北京流体网络科技有限公司,流体网络,50-150人,B轮,朝阳区,python开发工程师（直播类项目）,3-5年,本科,15k-30k,福利待遇优厚 发展空间大 周末双休,移动互联网,开发|测试|运维类,"['股票期权', '弹性工作', '领导好', '扁平管理']",后端开发,北京
深圳蓝贝科技有限公司,BLUE,500-2000人,C轮,南山区,python开发工程师,1-3年,本科,14k-18k,年终奖；团队,"消费生活,移动互联网",开发|测试|运维类,"['股票期权', '绩效奖金', '岗位晋升', '年度旅游']",后端开发,深圳
北京逍遥志科技有限公司,逍遥志科技,15-50人,A轮,朝阳区,Python研发工程师,3-5年,本科,18k-25k,牛人多，氛围好，发展快,"移动互联网,金融",开发|测试|运维类,"['定期体检', '股票期权', '弹性工作', '领导好']",后端开发,北京
创世云（厦门）信息科技有限公司,创世云,50-150人,未融资,思明区,Python开发工程师,3-5年,本科,15k-30k,"大牛同事,发展空间,薪酬福利","移动互联网,企业服务",开发|测试|运维类,"['年底双薪', '股票期权', '带薪年假', '定期体检']",后端开发,厦门
北京中电广通技术服务有限公司,中电广通,50-150人,未融资,朝阳区,Python开发工程师,3-5年,本科,10k-20k,"前沿技术,弹性工时,周末双休,五险一金",移动互联网,开发|测试|运维类,"['弹性工作', '股票期权', '定期体检', '岗位晋升']",后端开发,北京
前沿驱动（北京）技术有限公司,INNFOS,50-150人,A轮,房山区,python开发,1-3年,本科,12k-23k,五险一金、免费班车、餐补、节日福利,"硬件,人工智能",开发|测试|运维类,"['五险一金', '弹性工作', '扁平管理', '绩效奖金']",后端开发,北京
互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,浦东新区,Python工程师,3-5年,本科,13k-20k,"技术前沿,大数据平台","移动互联网,电商",开发|测试|运维类,"['节日礼物', '技能培训', '年底双薪', '年度旅游']",后端开发,上海
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,python开发工程师（后端开发）,不限,本科,15k-30k,精准医学计算，大数据平台开发，云端开发,"医疗丨健康,数据服务",开发|测试|运维类,"['股票期权', '带薪年假', '扁平管理', '定期体检']",后端开发,北京
深圳市微赢世纪网络科技有限公司,微赢世纪,15-50人,天使轮,南山区,python开发工程师,3-5年,本科,15k-30k,连续创业者领衔自由工作气氛,"人工智能,工具",开发|测试|运维类,"['大牛带队', '技能培训', '股票期权', '扁平管理']",后端开发,深圳
深圳市雪球科技有限公司,雪球科技,50-150人,B轮,浦东新区,python开发工程师,1-3年,本科,10k-18k,"五险一金 商业保险,活力团队,季度团建","移动互联网,信息安全",开发|测试|运维类,"['年底双薪', '技能培训', '岗位晋升', '扁平管理']",后端开发,上海
北京势在必行网络科技有限公司,币信,50-150人,不需要融资,朝阳区,python开发工程师,3-5年,本科,18k-35k,"年底双薪,午餐补助,休闲餐点,弹性工作",移动互联网,开发|测试|运维类,"['带薪年假', '午餐补助', '定期体检', '弹性工作']",后端开发,北京
成都铁皮人科技有限公司,小鸡叫叫,50-150人,A轮,武侯区,Python开发工程师（大数据开发方向）,3-5年,本科,12k-18k,双休 顶级项目 扁平管理,"移动互联网,文娱丨内容",开发|测试|运维类,"['岗位晋升', '扁平管理', '顶级项目', '年底1-3薪']",后端开发,成都
杭州美登科技股份有限公司,美登科技,15-50人,不需要融资,拱墅区,python研发工程师,1-3年,本科,15k-30k,"弹性工作,技术大神带,午餐补助,年度旅游","电商,企业服务",开发|测试|运维类,"['年度旅游', '弹性工作', '丰厚年终奖', '技术大咖云集']",后端开发,杭州
达而观信息科技（上海）有限公司,达观数据,150-500人,B轮,浦东新区,Python开发工程师,3-5年,本科,15k-30k,核心系统 人工智能 专业培训 前沿技术,人工智能,开发|测试|运维类,"['AI人工智能', 'NLP', '技术领先', '市场口碑佳']",后端开发,上海
北京智胜新格科技有限公司,北京智胜新格科技有限...,150-500人,不需要融资,海淀区,Python开发,1-3年,本科,15k-30k,"六险一金,硅谷式办公,绩效奖金,按摩椅","移动互联网,游戏",开发|测试|运维类,"['绩效奖金', '定期体检', '弹性工作', '节日礼物']",后端开发,北京
惠州市宝高网络科技有限公司,宝高科技,50-150人,不需要融资,高新区,python开发工程师,3-5年,本科,15k-30k,平台大，薪资福利好，氛围好,"移动互联网,广告营销",开发|测试|运维类,[],后端开发,成都
北京启明合心科技有限公司,合心科技,50-150人,B轮,海淀区,Python开发工程师,1-3年,本科,20k-35k,"大数据处理,自由度大,有挑战,公司午晚餐","移动互联网,教育",开发|测试|运维类,"['扁平管理', '最优秀的伙伴', '弹性工作', '公司午晚餐']",后端开发,北京
北京捷通华声科技股份有限公司,捷通华声,150-500人,不需要融资,海淀区,python开发工程师,不限,本科,15k-25k,技术导向；扁平化管理；发展空间大,"移动互联网,数据服务",开发|测试|运维类,"['股票期权', '半年调薪', '绩效奖金多', '晋升空间大']",后端开发,北京
四川喵星城科技有限公司,四川喵星城科技有限公司,15-50人,未融资,高新区,python,3-5年,本科,10k-20k,高薪 氛围好 美女多,"移动互联网,社交",开发|测试|运维类,[],后端开发,成都
全美在线（北京）教育科技股份有限公司,ATA,500-2000人,上市公司,浦东新区,python开发工程师,3-5年,本科,15k-25k,公司正规 团队氛围好 领导好 午餐补助,"教育,移动互联网",开发|测试|运维类,"['定期体检', '午餐补助', '带薪年假', '六险一金']",后端开发,上海
北京第三石科技发展有限公司,第三石科技,50-150人,B轮,朝阳区,python开发工程师,1-3年,本科,8k-16k,平台好 高精尖技术氛围,"移动互联网,电商",开发|测试|运维类,"['股票期权', '交通补助', '带薪年假', '扁平管理']",后端开发,北京
深圳市杉岩数据技术有限公司,杉岩数据,50-150人,B轮,武侯区,pyhton开发,1-3年,本科,13k-18k,发展前景、扁平化管理、下午茶,"企业服务,数据服务",开发|测试|运维类,"['股票期权', '扁平管理', '领导好', '五险一金']",后端开发,成都
广州回头车信息科技有限公司,省省回头车,50-150人,A轮,天河区,python开发工程师,1-3年,本科,10k-15k,"期权激励,五险一金,带薪年假,弹性工作",消费生活,开发|测试|运维类,"['五险一金', '带薪年假', '年度旅游', '岗位晋升']",后端开发,广州
颐邦（北京）医院管理有限公司,颐邦科技,15-50人,不需要融资,海淀区,Python研发工程师,3-5年,本科,13k-18k,年终2-6薪，五险一金，清华团队,"医疗丨健康,硬件",开发|测试|运维类,"['年底双薪', '绩效奖金', '带薪年假', '技能培训']",后端开发,北京
西安贝业思数据智能技术服务有限公司,贝业思,15-50人,不需要融资,黄埔区,python开发工程师,1-3年,本科,8k-16k,股权激励，算法牛人，扁平管理，,"数据服务,移动互联网",开发|测试|运维类,"['弹性工作', '扁平管理']",后端开发,广州
北京市商汤科技开发有限公司,商汤科技,2000人以上,C轮,南山区,python开发,3-5年,本科,18k-35k,AI独角兽，绩效奖金，黑羊文化,人工智能,开发|测试|运维类,"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",后端开发,深圳
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,python开发工程师,1-3年,本科,20k-35k,六险一金，高薪期权，弹性工作，免费三餐,文娱丨内容,开发|测试|运维类,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",后端开发,北京
重庆迅游科技有限公司,迅游科技,150-500人,不需要融资,渝北区,Python开发工程师,3-5年,大专,8k-14k,python,"移动互联网,游戏",开发|测试|运维类,"['节日礼物', '绩效奖金', '定期体检', '交通补助']",后端开发,重庆
智言科技(深圳)有限公司,智言科技,50-150人,A轮,南山区,Python开发工程师,3-5年,本科,10k-20k,"海归团队,成长空简大,薪酬福利好,扁平管理","数据服务,其他",开发|测试|运维类,"['年底双薪', '绩效奖金', '通讯津贴', '扁平管理']",后端开发,深圳
广州西洋汇信息技术有限公司,西洋汇,50-150人,不需要融资,海珠区,Python工程师,3-5年,本科,10k-20k,不加班，技术氛围浓，发展机会大,"电商,移动互联网",开发|测试|运维类,"['年终分红', '绩效奖金', '午餐补助', '定期体检']",后端开发,广州
爱笔（北京）智能科技有限公司,Aibee,150-500人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"初创公司,技术驱动","移动互联网,企业服务",开发|测试|运维类,"['国际化团队', '计算机视觉', '语音识别', '自然语言理解']",后端开发,北京
江曲投资咨询（上海）有限公司,Student.com,150-500人,C轮,静安区,python开发工程师,1-3年,本科,10k-20k,活力团队，技术牛人,电商,开发|测试|运维类,"['技能培训', '带薪年假', '岗位晋升', '五险一金']",后端开发,上海
北京铭泰金科信息技术有限公司,北京铭泰金科信息技术有限公司,500-2000人,B轮,建邺区,Python,不限,本科,6k-10k,五险一金，餐补，15薪，加班打车,"金融,数据服务",开发|测试|运维类,"['带薪年假', '午餐补助', '股票期权', '绩效奖金']",后端开发,南京
北京向上一心科技有限公司,老虎集团,150-500人,上市公司,朝阳区,python开发工程师,5-10年,本科,20k-40k,"加班少,福利好","移动互联网,金融",开发|测试|运维类,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",后端开发,北京
深圳市杉岩数据技术有限公司,杉岩数据,50-150人,B轮,南山区,Python开发工程师,1-3年,本科,10k-20k,"扁平化管理,发展空间大","企业服务,数据服务",开发|测试|运维类,"['股票期权', '扁平管理', '领导好', '五险一金']",后端开发,深圳
弘量科技（深圳）有限公司,弘量科技（深圳）有限公司,50-150人,B轮,南山区,Python工程师,3-5年,本科,15k-30k,"互联网金融,智能投顾,弹性工作",金融,开发|测试|运维类,"['优秀同事', '股票期权', '年终分红', '带薪年假']",后端开发,深圳
